URI	rdf-schema#label	country_label	country	populationTotal	wgs84_pos#lat	wgs84_pos#long
http://dbpedia.org/resource/Minamib%C5%8Ds%C5%8D,_Chiba	Minamibōsō Chiba	Japan	http://dbpedia.org/resource/Japan	42425	35.0431	139.84
http://dbpedia.org/resource/Thana_Bhawan	Thana Bhawan	India	http://dbpedia.org/resource/India	31183	29.5833	77.4167
http://dbpedia.org/resource/Zarrin_Shahr	Zarrin Shahr	Iran	http://dbpedia.org/resource/Iran	55984	32.3897	51.3767
http://dbpedia.org/resource/Villa_Carlos_Paz	Villa Carlos Paz	Argentina	http://dbpedia.org/resource/Argentina	75315	-31.4	-64.5167
http://dbpedia.org/resource/Ootmarsum	Ootmarsum	Netherlands	http://dbpedia.org/resource/Netherlands	4450	52.4072	6.89944
http://dbpedia.org/resource/Bei'an	Bei'an	China	http://dbpedia.org/resource/China	436444	48.25	126.517
http://dbpedia.org/resource/Lar,_Iran	Lar Iran	Iran	http://dbpedia.org/resource/Iran	51961	27.6811	54.3403
http://dbpedia.org/resource/Beyram,_Iran	Beyram Iran	Iran	http://dbpedia.org/resource/Iran	6520	27.4308	53.5144
http://dbpedia.org/resource/Outjo	Outjo	Namibia	http://dbpedia.org/resource/Namibia	6013	-20.1089	16.1547
http://dbpedia.org/resource/Caleta_Olivia	Caleta Olivia	Argentina	http://dbpedia.org/resource/Argentina	61649	-46.4333	-67.5333
http://dbpedia.org/resource/Kiashahr	Kiashahr	Iran	http://dbpedia.org/resource/Iran	13762	37.4194	49.9489
http://dbpedia.org/resource/Kabirwala	Kabirwala	Pakistan	http://dbpedia.org/resource/Pakistan	NULL	30.2	70.43
http://dbpedia.org/resource/Shorkot	Shorkot	Pakistan	http://dbpedia.org/resource/Pakistan	NULL	30.5	72.4
http://dbpedia.org/resource/Eranholi	Eranholi	India	http://dbpedia.org/resource/India	NULL	11.763	75.51
http://dbpedia.org/resource/Lalamusa	Lalamusa	Pakistan	http://dbpedia.org/resource/Pakistan	NULL	32.7012	73.9605
http://dbpedia.org/resource/Zaboli	Zaboli	Iran	http://dbpedia.org/resource/Iran	7672	27.1294	61.6744
http://dbpedia.org/resource/Imizu,_Toyama	Imizu Toyama	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Kendujhar	Kendujhar	India	http://dbpedia.org/resource/India	51832	21.63	85.58
http://dbpedia.org/resource/Najafabad	Najafabad	Iran	http://dbpedia.org/resource/Iran	206114	32.6344	51.3667
http://dbpedia.org/resource/Tiran,_Iran	Tiran Iran	Iran	http://dbpedia.org/resource/Iran	15673	32.7025	51.1536
http://dbpedia.org/resource/Capilla_del_Monte	Capilla del Monte	Argentina	http://dbpedia.org/resource/Argentina	9085	-30.85	-64.5167
http://dbpedia.org/resource/Mitoyo,_Kagawa	Mitoyo Kagawa	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Ayagawa,_Kagawa	Ayagawa Kagawa	NULL	NULL	NULL	NULL	NULL
http://dbpedia.org/resource/Tuyserkan	Tuyserkan	Iran	http://dbpedia.org/resource/Iran	42520	34.5481	48.4469
http://dbpedia.org/resource/General_Roca,_R%C3%ADo_Negro	General Roca Río Negro	Argentina	http://dbpedia.org/resource/Argentina	85883	-39.0333	-67.5833
http://dbpedia.org/resource/Sari,_Iran	Sari Iran	Iran	http://dbpedia.org/resource/Iran	259084	36.5633	53.06
http://dbpedia.org/resource/Udgir	Udgir	India	http://dbpedia.org/resource/India	200908	18.38	77.12
http://dbpedia.org/resource/Bell_Ville	Bell Ville	Argentina	http://dbpedia.org/resource/Argentina	32336	-32.6333	-62.6833
http://dbpedia.org/resource/Lunawada	Lunawada	India	http://dbpedia.org/resource/India	33381	23.1333	73.6167
